flag,language,country,greeting
🇬🇫,French Guiana,French Guiana,Bonjour
🇬🇬,Guernsey,Guernsey,Hello
🇬🇭,Ghana,Ghana,Hello
🇬🇮,Gibraltar,Gibraltar,Hello
🇬🇱,Greenland,Greenland,Aluu
🇬🇲,Gambia,Gambia,Hello
🇬🇳,Guinea,Guinea,Bonjour
🇬🇵,Guadeloupe,Guadeloupe,Hello
🇬🇶,Equatorial Guinea,Equatorial Guinea,Hola
🇬🇷,Greece,Greece,Γεια σου
🇬🇹,Guatemala,Guatemala,Hola
🇬🇺,Guam,Guam,Hello
🇬🇼,Guinea-Bissau,Guinea-Bissau,Olá
🇬🇾,Guyana,Guyana,Hello
🇭🇰,Hong Kong,Hong Kong,你好
🇭🇳,Honduras,Honduras,HHola
🇭🇷,Croatia,Croatia,Bok
🇭🇹,Haiti,Haiti,Bonjour
🇭🇺,Hungary,Hungary,Jó napot
🇮🇩,Indonesia,Indonesia,Selamat
🇮🇪,Ireland,Ireland,Haileo
🇮🇱,Israel,Israel,Shalom
🇮🇲,Isle of Man,Isle of Man,Hello
🇮🇳,India,India,नमस्ते
🇮🇴,British Indian Ocean Territory,British Indian Ocean Territory,Hello
🇮🇶,Iraq,Iraq,Marhaba
🇮🇷,Iran  Islamic Republic of,Iran  Islamic Republic of,Salâm
🇮🇸,Iceland,Iceland,Góðan daginn
🇮🇹,Italy,Italy,Buon giorno
🇯🇪,Jersey,Jersey,Hello
🇯🇲,Jamaica,Jamaica,Hello
🇯🇴,Jordan,Jordan,Marhaba
🇯🇵,Japan,Japan,こんにちは
🇰🇪,Kenya,Kenya,Habari
🇰🇬,Kyrgyzstan,Kyrgyzstan,Kandisiz
🇰🇭,Cambodia,Cambodia,Sua sdei
🇰🇮,Kiribati,Kiribati,Mauri
🇰🇲,Comoros,Comoros,Bariza djioni
🇰🇳,Saint Kitts and Nevis,Saint Kitts and Nevis,Hello
🇰🇵,Korea  Democratic Peoples Republic of,Korea  Democratic Peoples Republic of,안녕하세요
🇰🇷,Korea  Republic of,Korea  Republic of,안녕하세요
🇰🇼,Kuwait,Kuwait,Marhaba
🇰🇾,Cayman Islands,Cayman Islands,Hello
🇰🇿,Kazakhstan,Kazakhstan,Salam
🇱🇦,Lao Peoples Democratic Republic,Lao Peoples Democratic Republic,Sabaidee
🇱🇧,Lebanon,Lebanon,Marhaba
🇱🇨,Saint Lucia,Saint Lucia,Hello
🇱🇮,Liechtenstein,Liechtenstein,Hallo
🇱🇰,Sri Lanka,Sri Lanka,A`yubowan
🇱🇷,Liberia,Liberia,Hello
🇱🇸,Lesotho,Lesotho,Hello
🇱🇹,Lithuania,Lithuania,Laba diena
🇱🇺,Luxembourg,Luxembourg,Moïen
🇱🇻,Latvia,Latvia,Sveiki
🇱🇾,Libyan Arab Jamahiriya,Libyan Arab Jamahiriya,Marhaba
🇲🇦,Morocco,Morocco,Marhaba
🇲🇨,Monaco,Monaco,Bonjour
🇲🇩,Moldova  Republic of,Moldova  Republic of,Salut
🇲🇪,Montenegro,Montenegro,Zdravo
🇲🇬,Madagascar,Madagascar,Manao ahoana
🇲🇭,Marshall Islands,Marshall Islands,Yokwe
🇲🇰,Macedonia,Macedonia,Здраво
🇲🇱,Mali,Mali,Bonjour
🇲🇲,Myanmar,Myanmar,Mingalarba
🇲🇳,Mongolia,Mongolia,Sain baina uu
🇲🇴,Macao,Macao,你好
🇲🇵,Northern Mariana Islands,Northern Mariana Islands,Hello
🇲🇶,Martinique,Martinique,Hello
🇲🇷,Mauritania,Mauritania,Marhaba
🇲🇸,Montserrat,Montserrat,Hello
🇲🇹,Malta,Malta,Bongu
🇲🇺,Mauritius,Mauritius,Hello
🇲🇻,Maldives,Maldives,Kihineth
🇲🇼,Malawi,Malawi,Muribwanji
🇲🇽,Mexico,Mexico,Hola
🇲🇾,Malaysia,Malaysia,Selamat
🇲🇿,Mozambique,Mozambique,Olá
🇳🇦,Namibia,Namibia,Hello
🇳🇨,New Caledonia,New Caledonia,Bozo
🇳🇪,Niger,Niger,Bonjour
🇳🇫,Norfolk Island,Norfolk Island,Whataway
🇳🇬,Nigeria,Nigeria,Hello
🇳🇮,Nicaragua,Nicaragua,Hola
🇳🇱,Netherlands,Netherlands,Hallo
🇳🇴,Norway,Norway,Hallo
🇳🇵,Nepal,Nepal,Namaste
🇳🇷,Nauru,Nauru,Hello
🇳🇺,Niue,Niue,Faka lofa lahi atu
🇳🇿,New Zealand,New Zealand,Hello
🇴🇲,Oman,Oman,Marhaba
🇵🇦,Panama,Panama,Hola
🇵🇪,Peru,Peru,Hola
🇵🇫,French Polynesia,French Polynesia,Bonjour
🇵🇬,Papua New Guinea,Papua New Guinea,Hello
🇵🇭,Philippines,Philippines,Halo
🇵🇰,Pakistan,Pakistan,Adaab
🇵🇱,Poland,Poland,Dzień dobry
🇵🇲,Saint Pierre and Miquelon,Saint Pierre and Miquelon,Bonjour
🇵🇷,Puerto Rico,Puerto Rico,Hola
🇵🇸,Palestinian Territory,Palestinian Territory,Marhaba
🇵🇹,Portugal,Portugal,Olá
🇵🇼,Palau,Palau,Alii
🇵🇾,Paraguay,Paraguay,Hola
🇶🇦,Qatar,Qatar,Marhaba
🇷🇪,Reunion,Reunion,Hello
🇷🇴,Romania,Romania,Salut
🇷🇸,Serbia,Serbia,Zdravo
🇷🇺,Russian Federation,Russian Federation,Здравствуйте
🇷🇼,Rwanda,Rwanda,Hello
🇸🇦,Saudi Arabia,Saudi Arabia,Marhaba
🇸🇧,Solomon Islands,Solomon Islands,Hello
🇸🇨,Seychelles,Seychelles,Hello
🇸🇩,Sudan,Sudan,Marhaba
🇸🇪,Sweden,Sweden,God dag
🇸🇬,Singapore,Singapore,Selamat
🇸🇮,Slovenia,Slovenia,Živijo
🇸🇰,Slovakia,Slovakia,Dobrý deň
🇸🇱,Sierra Leone,Sierra Leone,Hello
🇸🇲,San Marino,San Marino,Buon giorno
🇸🇳,Senegal,Senegal,Bonjour
🇸🇴,Somalia,Somalia,Maalim wanaqsan
🇸🇷,Suriname,Suriname,Hallo
🇸🇹,Sao Tome and Principe,Sao Tome and Principe,Hello
🇸🇻,El Salvador,El Salvador,Hola
🇸🇾,Syrian Arab Republic,Syrian Arab Republic,Marhaba
🇸🇿,Swaziland,Swaziland,Hello
🇹🇨,Turks and Caicos Islands,Turks and Caicos Islands,Hello
🇹🇩,Chad,Chad,Marhaba
🇹🇬,Togo,Togo,Bonjour
🇹🇭,Thailand,Thailand,Sawatdi
🇹🇯,Tajikistan,Tajikistan,Salom
🇹🇰,Tokelau,Tokelau,Taloha
🇹🇲,Turkmenistan,Turkmenistan,Salam
🇹🇳,Tunisia,Tunisia,Marhaba
🇹🇴,Tonga,Tonga,Malo e lelei
🇹🇷,Turkey,Turkey,Merhaba
🇹🇹,Trinidad and Tobago,Trinidad and Tobago,Hello
🇹🇻,Tuvalu,Tuvalu,Talofa
🇹🇼,Taiwan,Taiwan,你好
🇹🇿,Tanzania  United Republic of,Tanzania  United Republic of,Habari
🇺🇦,Ukraine,Ukraine,Pryvit
🇺🇬,Uganda,Uganda,Habari
🇺🇰,United Kingdom,United Kingdom,Hello
🇺🇲,United States Minor Outlying Islands,United States Minor Outlying Islands,Hello
🇺🇸,United States,United States,Hello
🇺🇾,Uruguay,Uruguay,Hola
🇺🇿,Uzbekistan,Uzbekistan,Salom
🇻🇦,Holy See (Vatican City State),Holy See (Vatican City State),Buon giorno
🇻🇨,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Hello
🇻🇪,Venezuela,Venezuela,Hola
🇻🇬,Virgin Islands  British,Virgin Islands  British,Hello
🇻🇮,Virgin Islands  U.S.,Virgin Islands  U.S.,Hello
🇻🇳,Vietnam,Vietnam,Chào
🇻🇺,Vanuatu,Vanuatu,Halo
🇼🇫,Wallis and Futuna,Wallis and Futuna,Malo le kataki
🇼🇸,Samoa,Samoa,Talofa
🇾🇪,Yemen,Yemen,Marhaba
🇾🇹,Mayotte,Mayotte,Hello
🇿🇦,South Africa,South Africa,Hello
🇿🇲,Zambia,Zambia,Hello
🇿🇼,Zimbabwe,Zimbabwe,Hello
